,Dbkey,Station,Site,Group Name,Data Type,Frequency,Statistic Type,Recorder,Agency,Start Date,End Date,Strata,County,Op Num,Elev_NAVD88,Latitude,Longitude,X COORD,Y COORD,Basin,Structure Type,Section,Township,Range,Days of Data,NAVD 88 Correction,sigmoid_a,sigmoid_b,sigmoid_r2
0,L7458,CRS05NM,CRS05N,CRS05N,WELL,DA,MEAN,CR10,WMD,3-Nov-99,12-Jul-20,53.7,HEN,,26.85,26.648802777777778,-81.25854333333332,571719.77,841597.6170000001,EAST CAL,,17,44,31,7557,-1.2890000000000001,24.176375805370828,3.2761871825555584,0.9951895080523437
1,L7457,CRS05NS,CRS05N,CRS05N,WELL,DA,MEAN,CR10,WMD,3-Nov-99,12-Jul-20,9.97,HEN,,26.85,26.648802777777778,-81.25854333333332,571719.77,841597.6170000001,EAST CAL,,17,44,31,7557,-1.2890000000000001,24.078385767759688,3.0584819705936095,0.9943237549744347
2,L7471,CRS05FM,CRS05F,CRS05F,WELL,DA,MEAN,CR10,WMD,3-Nov-99,12-Jul-20,66.0,HEN,,28.0,26.64884305555556,-81.25599027777776,572553.696,841610.578,EAST CAL,,17,44,31,7557,-1.2890000000000001,25.681826563661765,4.837192984100301,0.9994859220572125
3,L7470,CRS05FS,CRS05F,CRS05F,WELL,DA,MEAN,CR10,WMD,3-Nov-99,12-Jul-20,8.66,HEN,,28.0,26.64884305555556,-81.25599027777776,572553.696,841610.578,EAST CAL,,17,44,31,7557,-1.2890000000000001,25.857743635059506,4.300966692893235,0.9998257723000433
4,L7469,CRS04FM,CRS04F,CRS04F,WELL,DA,MEAN,CR10,WMD,3-Nov-99,12-Jul-20,51.15,HEN,,20.1,26.751938888888883,-81.1699088888889,600720.5279999999,879038.224,EAST CAL,,18,43,32,7557,-1.266,17.73535893038561,4.67429997764292,0.9987829574968902
5,L7468,CRS04FS,CRS04F,CRS04F,WELL,DA,MEAN,CR10,WMD,3-Nov-99,12-Jul-20,7.28,HEN,,20.1,26.751938888888883,-81.1699088888889,600720.5279999999,879038.224,EAST CAL,,18,43,32,7557,-1.266,19.986337192820496,2.758261969453185,0.9955470028092497
6,W4324,LAB-SU1,LABPW2,LABPW2,WELL,DA,MEAN,CR10,WMD,24-Dec-08,9-Jul-20,30.0,HEN,,13.57,26.75260444444444,-81.47113805555557,502419.51399999997,879527.585,WEST CAL,,12,43,28,4215,-1.28,4.130097844614947,1.9921471072979688,0.9907565824270244
7,15242,FTDN-S,FTDN,FTDN,WELL,DA,MEAN,CR10,WMD,25-Feb-92,12-Jul-20,13.0,HEN,,18.74,26.761638888888896,-81.49469444444445,494744.971,882840.807,WEST CAL,,2,43,28,10365,-1.276,15.75263950098497,1.651241730203474,0.9927496165372731
8,15241,FT.DENAUDE,FTDN,FTDN,WELL,DA,MEAN,CR10,WMD,25-Feb-92,12-Jul-20,114.0,HEN,,18.74,26.76164722222222,-81.49469444444445,494744.971,882843.807,WEST CAL,,2,43,28,10365,-1.276,7.841578849420115,0.33768651613445166,0.9910082250514864
9,L7467,CRS03FM,CRS03F,CRS03F,WELL,DA,MEAN,CR10,WMD,2-Nov-99,12-Jul-20,58.19,GLA,,12.75,26.782170277777784,-81.1712813888889,600286.918,890027.707,EAST CAL,,31,42,32,7558,-1.23,10.36840024596519,5.100182704240387,0.997313889571615
10,L7466,CRS03FS,CRS03F,CRS03F,WELL,DA,MEAN,CR10,WMD,2-Nov-99,12-Jul-20,12.78,GLA,,12.75,26.782170277777784,-81.1712813888889,600286.918,890027.707,EAST CAL,,31,42,32,7558,-1.23,9.978385502833177,6.123237702344811,0.9983204563967902
11,L7452,CRS03NM,CRS03N,CRS03N,WELL,DA,MEAN,CR10,WMD,2-Nov-99,12-Jul-20,56.24,GLA,,12.91,26.782393333333342,-81.17163416666665,600171.996,890109.0329999999,EAST CAL,,31,42,32,7558,-1.23,10.40518537038294,4.7099242943224295,0.9974695552331113
12,L7451,CRS03NS,CRS03N,CRS03N,WELL,DA,MEAN,CR10,WMD,2-Nov-99,12-Jul-20,13.48,GLA,,12.91,26.782393333333342,-81.17163416666665,600171.996,890109.0329999999,EAST CAL,,31,42,32,7558,-1.23,9.900264879425752,6.646870841957404,0.9982421403115507
13,L7463,CRS01FM,CRS01F,CRS01F,WELL,DA,MEAN,CR10,WMD,2-Nov-99,12-Jul-20,58.69,GLA,,13.12,26.787945000000004,-81.30124555555557,557891.616,892205.684,EAST CAL,,26,42,30,7558,-1.171,10.186810746454737,1.7917262611361309,0.9924516726695337
14,L7462,CRS01FS,CRS01F,CRS01F,WELL,DA,MEAN,CR10,WMD,2-Nov-99,12-Jul-20,19.0,GLA,,13.12,26.787945000000004,-81.30124555555557,557891.616,892205.684,EAST CAL,,26,42,30,7558,-1.171,10.230807446699755,1.2955009685230603,0.9800559365672785
15,L7449,CRS02NM,CRS02N,CRS02N,WELL,DA,MEAN,CR10,WMD,4-Nov-99,12-Jul-20,59.01,GLA,,18.63,26.789699166666672,-81.23353250000002,579982.837,892796.8570000001,EAST CAL,,28,42,31,7556,-1.207,11.25668110862564,3.4091661610125272,0.9978050868666519
16,L7448,CRS02NS,CRS02N,CRS02N,WELL,DA,MEAN,CR10,WMD,4-Nov-99,12-Jul-20,22.41,GLA,,18.63,26.789699166666672,-81.23353250000002,579982.837,892796.8570000001,EAST CAL,,28,42,31,7556,-1.207,10.298794704749252,3.311925896644729,0.9962173434147371
